,proposal,voter,support,single_vote,name
1303,54,0x5bc928bf0dab1e4a2ddd9e347b0f22e88026d76c,1,57785.755787858405,
371,54,0x19b570af5dddb8f0f5a15c83d07a1c5153865188,1,0.8058410532497946,
95,54,0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,1,49999.99999999999,upennblockchain.eth
1968,54,0x88fb3d509fc49b515bfeb04e23f53ba339563981,1,105126.53783727143,
264,54,0x13bdae8c5f0fc40231f0e6a4ad70196f59138548,1,49999.99999999999,
2017,54,0x8abaf5733742b1506f6a1255de0e37aec76b7940,1,0.25,dumbfuck.eth
1134,54,0x5274b3bebc974f3cf661efe149bf4c6f4cdc59d2,1,4773.3099999999995,
914,54,0x44c69653fa05b0e7c12488a4441b9368da43aabd,1,0.25,jthrack.eth
1848,54,0x84e39a52d7f3f8fb63723782653d4cf71c465a95,1,151.5404959684908,
2328,54,0x9b68c14e936104e9a7a24c712beecdc220002984,1,11050.52772898223,getty.gfxlabs.eth
652,54,0x2fc75b5d7ce406d1066554212fb046d21793a17b,1,894.21909615,
226,54,0x10f87409e405c5e44e581a4c3f2eecf36aaf1f92,1,38299.652577919995,
1425,54,0x6626593c237f530d15ae9980a95ef938ac15c35c,1,126090.33091301039,
933,54,0x45041ce9f1f3a8a3c434bb0aed242064e6023424,1,0.5495891589942499,
1003,54,0x47c125dee6898b6cb2379bcbafc823ff3f614770,1,50004.08847703803,blockchainatucla.eth
1173,54,0x53c40473dcdfd927c4201ccfe24e314a7d7c3584,1,1.02635,dowjonez.eth
1200,54,0x54a37d93e57c5da659f508069cf65a381b61e189,1,100077.31401042873,
2018,56,0x8abaf5733742b1506f6a1255de0e37aec76b7940,1,0.25,dumbfuck.eth
